"","MM1","MM2","MM3","MM4","Class"
"75",84,99,113,87,FALSE
"76",88,107,113,87,FALSE
"77",88,107,109,83,FALSE
"78",88,103,109,87,FALSE
"79",84,103,113,87,FALSE
"80",88,111,113,92,FALSE
"81",93,107,109,92,FALSE
"82",93,111,113,92,FALSE
"83",93,116,118,92,FALSE
"84",88,111,118,92,FALSE
"85",93,107,113,87,FALSE
"86",93,107,113,87,FALSE
"87",93,107,109,87,FALSE
"88",88,107,109,92,FALSE
"89",88,107,109,87,FALSE
"90",88,107,109,87,FALSE
"91",88,103,109,87,FALSE
"92",93,103,109,87,FALSE
"93",88,107,109,87,FALSE
"94",88,107,113,87,FALSE
"95",84,99,104,87,FALSE
"96",79,99,100,79,FALSE
"97",88,95,100,79,FALSE
"98",88,103,109,83,FALSE
"99",88,103,113,83,FALSE
"100",84,103,104,83,FALSE
"101",84,99,109,83,FALSE
"102",84,103,104,83,FALSE
"103",79,99,100,83,FALSE
"104",79,91,104,79,FALSE
"105",84,99,104,83,FALSE
"106",75,87,93,71,FALSE
"107",75,83,85,71,FALSE
"108",71,79,77,67,FALSE
"109",67,72,81,67,FALSE
"110",67,64,81,67,FALSE
"111",59,61,77,71,FALSE
"112",55,54,85,67,FALSE
"113",55,51,74,67,FALSE
"114",55,48,70,62,FALSE
"115",51,48,70,67,FALSE
"116",90,109,112,89,FALSE
"117",90,113,117,92,FALSE
"118",90,113,122,96,FALSE
"119",95,123,127,100,FALSE
"120",82,100,108,85,FALSE
"121",82,100,108,81,FALSE
"122",82,100,104,78,FALSE
"123",78,100,104,81,FALSE
"124",82,100,108,85,FALSE
"125",78,96,96,78,FALSE
"126",78,91,92,70,FALSE
"127",78,91,96,74,FALSE
"128",74,87,92,70,FALSE
"129",74,87,88,66,FALSE
"130",78,87,88,66,FALSE
"131",74,83,92,66,FALSE
"132",70,83,92,66,FALSE
"133",59,60,96,81,TRUE
"134",56,49,104,100,TRUE
"135",49,40,112,114,TRUE
"136",63,67,104,85,TRUE
"137",82,96,104,78,FALSE
"138",86,100,108,85,FALSE
"139",90,104,112,85,FALSE
"140",86,104,108,85,FALSE
"141",86,104,108,85,FALSE
"142",86,100,108,85,FALSE
"143",90,104,112,89,FALSE
"144",90,104,112,85,FALSE
"145",90,109,112,85,FALSE
"146",90,109,117,89,FALSE
"147",90,109,112,89,FALSE
"148",90,109,112,89,FALSE
"149",90,104,117,92,FALSE
"150",90,109,112,89,FALSE
"151",90,109,112,89,FALSE
"152",90,104,112,89,FALSE
"153",86,104,108,89,FALSE
"154",90,104,108,92,FALSE
"155",90,109,108,89,FALSE
"156",86,104,112,85,FALSE
"157",86,96,104,81,FALSE
"158",86,104,108,85,FALSE
"159",90,109,112,92,FALSE
"160",86,109,108,89,FALSE
"161",86,109,112,89,FALSE
"162",90,109,112,92,FALSE
"163",86,104,108,89,FALSE
"164",86,104,104,85,FALSE
"165",82,100,100,85,FALSE
"166",82,100,104,78,FALSE
"167",82,100,104,81,FALSE
"168",86,100,104,81,FALSE
"169",82,96,100,81,FALSE
"170",82,96,104,78,FALSE
"171",86,96,104,81,FALSE
"172",82,96,100,81,FALSE
"173",82,100,104,78,FALSE
"174",82,96,104,85,FALSE
"175",86,100,108,85,FALSE
"176",86,100,112,85,FALSE
"177",86,100,112,85,FALSE
"178",82,96,100,81,FALSE
"179",78,83,84,70,FALSE
"180",70,75,76,66,FALSE
"181",66,71,80,66,FALSE
"182",66,63,76,66,FALSE
"183",59,60,73,63,FALSE
"184",59,56,76,66,FALSE
"185",59,53,76,70,FALSE
"186",56,49,73,70,FALSE
"187",92,103,110,86,FALSE
"188",87,103,114,90,FALSE
"189",92,122,135,109,FALSE
"190",92,108,114,86,FALSE
"191",83,103,105,83,FALSE
"192",79,103,110,83,FALSE
"193",79,99,105,83,FALSE
"194",83,91,97,72,FALSE
"195",83,91,97,72,FALSE
"196",79,91,93,72,FALSE
"197",79,91,90,68,FALSE
"198",79,88,93,68,FALSE
"199",75,91,93,68,FALSE
"200",75,84,90,68,FALSE
"201",75,84,93,72,FALSE
"202",75,88,90,68,FALSE
"203",75,88,93,72,FALSE
"204",63,77,86,72,TRUE
"205",49,45,119,116,TRUE
"206",46,37,119,127,TRUE
"207",46,32,119,131,TRUE
"208",42,34,119,131,TRUE
"209",46,34,119,131,TRUE
"210",71,77,97,75,TRUE
"211",87,103,105,86,FALSE
"212",87,95,105,83,FALSE
"213",83,99,110,83,FALSE
"214",87,99,105,86,FALSE
"215",96,112,114,90,FALSE
"216",87,108,110,90,FALSE
"217",92,108,110,86,FALSE
"218",87,103,110,90,FALSE
"219",87,103,114,86,FALSE
"220",92,108,114,86,FALSE
"221",92,108,110,86,FALSE
"222",92,103,105,86,FALSE
"223",87,99,105,83,FALSE
"224",87,103,105,86,FALSE
"225",92,108,110,90,FALSE
"226",87,108,119,90,FALSE
"227",87,103,110,86,FALSE
"228",83,103,110,83,FALSE
"229",79,95,105,79,FALSE
"230",87,95,97,83,FALSE
"231",83,99,101,79,FALSE
"232",83,99,105,79,FALSE
"233",79,99,97,79,FALSE
"234",83,95,105,83,FALSE
"235",83,95,101,79,FALSE
"236",83,99,105,83,FALSE
"237",83,103,105,83,FALSE
"238",87,103,105,83,FALSE
"239",79,88,97,72,FALSE
"240",71,81,86,68,FALSE
"241",71,77,82,64,FALSE
"242",71,81,82,68,FALSE
"243",67,73,75,60,FALSE
"244",63,66,68,57,FALSE
"245",63,63,72,60,FALSE
"246",63,66,72,64,FALSE
"247",59,57,75,64,FALSE
"248",97,115,119,97,FALSE
"249",89,120,124,97,FALSE
"250",93,115,124,101,FALSE
"251",93,125,135,104,FALSE
"252",93,130,129,101,FALSE
"253",89,120,129,97,FALSE
"254",78,102,110,83,FALSE
"255",78,102,105,80,FALSE
"256",78,97,101,80,FALSE
"257",78,92,93,73,FALSE
"258",74,92,93,69,FALSE
"259",78,88,97,73,FALSE
"260",82,88,97,73,FALSE
"261",78,88,93,73,FALSE
"262",82,92,93,73,FALSE
"263",78,88,93,73,FALSE
"264",78,84,93,69,FALSE
"265",74,84,89,69,FALSE
"266",74,88,93,76,FALSE
"267",67,75,93,80,TRUE
"268",57,63,97,90,TRUE
"269",47,40,119,122,TRUE
"270",44,34,124,136,TRUE
"271",44,34,124,136,TRUE
"272",42,31,124,133,TRUE
"273",44,34,119,133,TRUE
"274",53,56,105,97,TRUE
"275",74,92,101,76,FALSE
"276",85,102,110,83,FALSE
"277",85,97,105,83,FALSE
"278",82,97,105,83,FALSE
"279",93,106,114,90,FALSE
"280",93,115,114,90,FALSE
"281",93,115,114,90,FALSE
"282",93,111,119,90,FALSE
"283",89,106,110,87,FALSE
"284",89,102,110,87,FALSE
"285",93,111,110,94,FALSE
"286",93,106,114,87,FALSE
"287",85,106,110,87,FALSE
"288",89,106,114,90,FALSE
"289",89,111,110,83,FALSE
"290",89,111,114,87,FALSE
"291",89,111,110,87,FALSE
"292",89,106,114,90,FALSE
"293",89,102,114,90,FALSE
"294",89,106,114,87,FALSE
"295",85,102,110,87,FALSE
"296",89,97,105,83,FALSE
"297",85,102,105,87,FALSE
"298",85,102,101,80,FALSE
"299",85,97,101,83,FALSE
"300",85,102,110,83,FALSE
"301",89,106,114,87,FALSE
"302",85,102,105,83,FALSE
"303",85,102,101,83,FALSE
"304",82,102,114,87,FALSE
"305",89,106,114,83,FALSE
"306",82,102,105,83,FALSE
"307",78,102,105,83,FALSE
"308",82,106,105,87,FALSE
"309",82,97,105,87,FALSE
"310",70,88,89,69,FALSE
"311",74,79,85,69,FALSE
"312",70,79,82,62,FALSE
"313",67,75,74,62,FALSE
"314",60,63,74,58,FALSE
"315",92,120,125,98,FALSE
"316",88,120,125,98,FALSE
"317",88,125,136,109,FALSE
"318",88,125,136,105,FALSE
"319",88,125,125,102,FALSE
"320",80,98,102,79,FALSE
"321",80,98,102,79,FALSE
"322",80,98,98,79,FALSE
"323",80,98,102,76,FALSE
"324",84,94,98,76,FALSE
"325",80,94,94,72,FALSE
"326",80,89,98,72,FALSE
"327",80,89,90,68,FALSE
"328",80,85,90,68,FALSE
"329",72,85,94,72,FALSE
"330",57,49,111,109,TRUE
"331",50,40,125,128,TRUE
"332",47,34,125,135,TRUE
"333",44,34,131,131,TRUE
"334",44,34,120,135,TRUE
"335",44,34,131,135,TRUE
"336",47,31,131,139,TRUE
"337",41,31,131,135,TRUE
"338",41,31,131,139,TRUE
"339",64,73,106,83,TRUE
"340",84,102,106,83,FALSE
"341",88,111,111,91,FALSE
"342",88,102,115,87,FALSE
"343",84,111,106,87,FALSE
"344",92,106,111,87,FALSE
"345",92,111,111,87,FALSE
"346",88,106,106,83,FALSE
"347",84,102,106,83,FALSE
"348",88,106,106,87,FALSE
"349",88,111,115,83,FALSE
"350",88,111,111,87,FALSE
"351",92,106,111,87,FALSE
"352",88,106,111,87,FALSE
"353",84,106,115,91,FALSE
"354",88,111,115,87,FALSE
"355",88,106,111,87,FALSE
"356",92,111,115,91,FALSE
"357",92,115,120,94,FALSE
"358",88,111,111,91,FALSE
"359",84,106,111,87,FALSE
"360",88,106,115,87,FALSE
"361",92,106,111,87,FALSE
"362",88,102,106,83,FALSE
"363",88,106,106,83,FALSE
"364",88,106,115,87,FALSE
"365",84,102,115,91,FALSE
"366",88,111,120,94,FALSE
"367",88,106,111,91,FALSE
"368",88,106,106,87,FALSE
"369",88,106,111,87,FALSE
"370",88,102,111,83,FALSE
"371",84,102,106,83,FALSE
"372",88,102,115,87,FALSE
"373",84,102,102,83,FALSE
"374",80,98,98,79,FALSE
"375",84,98,106,83,FALSE
"376",80,98,98,79,FALSE
"377",76,85,86,72,FALSE
"378",76,85,86,72,FALSE
"379",68,85,86,68,FALSE
"380",72,81,82,68,FALSE
"381",72,81,86,68,FALSE
"382",72,77,78,61,FALSE
"383",88,126,139,103,FALSE
"384",88,121,133,103,FALSE
"385",88,121,128,99,FALSE
"386",92,116,122,99,FALSE
"387",84,99,104,78,FALSE
"388",80,95,100,78,FALSE
"389",80,99,100,74,FALSE
"390",80,95,100,74,FALSE
"391",84,95,100,74,FALSE
"392",71,91,96,74,FALSE
"393",76,91,96,70,FALSE
"394",71,79,96,74,TRUE
"395",56,54,108,103,TRUE
"396",56,54,104,92,TRUE
"397",53,45,113,114,TRUE
"398",46,34,133,146,TRUE
"399",46,31,139,143,TRUE
"400",46,31,133,146,TRUE
"401",43,31,139,146,TRUE
"402",43,31,133,139,TRUE
"403",43,31,128,135,TRUE
"404",43,31,128,135,TRUE
"405",46,34,133,132,TRUE
"406",43,31,128,135,TRUE
"407",46,34,118,132,TRUE
"408",50,51,113,103,TRUE
"409",71,87,104,81,TRUE
"410",88,103,108,88,FALSE
"411",88,103,108,88,FALSE
"412",92,107,113,88,FALSE
"413",88,103,113,85,FALSE
"414",88,103,108,88,FALSE
"415",92,107,113,88,FALSE
"416",88,107,113,88,FALSE
"417",88,107,113,88,FALSE
"418",88,107,118,88,FALSE
"419",88,107,113,88,FALSE
"420",88,107,108,85,FALSE
"421",88,107,104,88,FALSE
"422",88,107,113,85,FALSE
"423",84,103,108,85,FALSE
"424",88,107,118,92,FALSE
"425",88,107,113,88,FALSE
"426",88,107,113,88,FALSE
"427",88,107,113,92,FALSE
"428",84,99,108,85,FALSE
"429",84,103,113,88,FALSE
"430",88,107,113,85,FALSE
"431",88,103,108,85,FALSE
"432",88,107,113,88,FALSE
"433",88,103,113,92,FALSE
"434",84,107,113,88,FALSE
"435",92,112,118,92,FALSE
"436",88,103,113,85,FALSE
"437",88,107,113,88,FALSE
"438",88,103,118,85,FALSE
"439",88,99,108,85,FALSE
"440",84,103,108,85,FALSE
"441",84,99,104,81,FALSE
"442",80,95,91,74,FALSE
"443",76,87,96,70,FALSE
"444",68,79,83,67,FALSE
"445",68,79,83,67,FALSE
"446",71,75,87,67,FALSE
"447",71,75,79,63,FALSE
"448",71,83,91,74,FALSE
"449",71,79,79,67,FALSE
"450",88,126,134,104,FALSE
"451",88,121,128,104,FALSE
"452",93,116,123,96,FALSE
"453",88,111,118,92,FALSE
"454",88,103,109,87,FALSE
"455",84,107,113,87,FALSE
"456",84,103,104,83,FALSE
"457",84,99,100,79,FALSE
"458",84,95,104,79,FALSE
"459",84,99,100,75,FALSE
"460",84,91,100,75,FALSE
"461",84,95,100,79,FALSE
"462",71,83,96,75,TRUE
"463",59,58,104,100,TRUE
"464",51,45,113,116,TRUE
"465",44,34,128,129,TRUE
"466",44,34,123,129,TRUE
"467",48,37,118,121,TRUE
"468",44,37,128,137,TRUE
"469",41,32,139,150,TRUE
"470",44,29,139,150,TRUE
"471",44,27,134,146,TRUE
"472",44,34,118,129,TRUE
"473",48,34,123,133,TRUE
"474",48,32,128,129,TRUE
"475",48,37,123,125,TRUE
"476",59,58,104,92,TRUE
"477",88,107,109,87,FALSE
"478",88,107,113,87,FALSE
"479",88,107,109,87,FALSE
"480",88,107,104,83,FALSE
"481",88,107,109,87,FALSE
"482",88,103,109,87,FALSE
"483",88,111,109,87,FALSE
"484",93,107,113,92,FALSE
"485",93,111,109,87,FALSE
"486",93,111,109,87,FALSE
"487",84,103,104,83,FALSE
"488",88,107,109,87,FALSE
"489",84,107,109,92,FALSE
"490",88,107,109,87,FALSE
"491",84,107,109,92,FALSE
"492",84,103,109,83,FALSE
"493",88,103,109,83,FALSE
"494",88,107,109,87,FALSE
"495",88,111,109,92,FALSE
"496",84,111,113,92,FALSE
"497",88,111,123,96,FALSE
"498",93,116,118,96,FALSE
"499",88,111,113,87,FALSE
"500",84,103,109,83,FALSE
"501",88,103,113,87,FALSE
"502",88,107,109,87,FALSE
"503",88,103,109,87,FALSE
"504",84,99,104,79,FALSE
"505",75,83,85,67,FALSE
"506",75,79,85,71,FALSE
"507",71,79,85,67,FALSE
"508",75,79,81,67,FALSE
"509",75,83,89,67,FALSE
"510",75,83,85,67,FALSE
"511",75,83,89,71,FALSE
"512",75,79,89,71,FALSE
"513",90,123,127,103,FALSE
"514",90,118,122,96,FALSE
"515",86,109,112,92,FALSE
"516",90,113,122,92,FALSE
"517",90,109,112,92,FALSE
"518",82,100,104,81,FALSE
"519",82,100,96,78,FALSE
"520",78,96,100,81,FALSE
"521",49,37,122,125,TRUE
"522",43,32,127,133,TRUE
"523",43,34,127,133,TRUE
"524",43,32,122,133,TRUE
"525",52,40,112,114,TRUE
"526",52,37,117,122,TRUE
"527",46,29,138,151,TRUE
"528",49,32,138,151,TRUE
"529",46,29,133,151,TRUE
"530",46,29,138,147,TRUE
"531",46,29,133,140,TRUE
"532",46,32,122,125,TRUE
"533",46,34,122,125,TRUE
"534",46,34,122,129,TRUE
"535",49,43,117,111,TRUE
"536",66,71,100,85,TRUE
"537",82,96,104,81,FALSE
"538",86,104,108,85,FALSE
"539",86,104,108,89,FALSE
"540",90,109,112,89,FALSE
"541",90,109,112,89,FALSE
"542",90,109,112,89,FALSE
"543",86,109,108,89,FALSE
"544",86,104,108,85,FALSE
"545",86,104,108,89,FALSE
"546",86,104,112,85,FALSE
"547",86,104,108,89,FALSE
"548",86,104,108,89,FALSE
"549",82,104,112,89,FALSE
"550",86,109,112,92,FALSE
"551",82,100,104,85,FALSE
"552",90,109,117,85,FALSE
"553",90,109,117,92,FALSE
"554",90,113,122,96,FALSE
"555",95,113,117,96,FALSE
"556",86,104,108,85,FALSE
"557",86,100,108,81,FALSE
"558",90,109,108,85,FALSE
"559",82,96,100,78,FALSE
"560",70,79,84,66,FALSE
"561",70,79,80,66,FALSE
"562",66,75,80,66,FALSE
"563",66,71,80,63,FALSE
"564",70,79,80,70,FALSE
"565",74,83,84,70,FALSE
"566",70,75,76,63,FALSE
"567",70,75,76,63,FALSE
"568",74,83,84,66,FALSE
"569",74,83,84,70,FALSE
"570",74,83,80,70,FALSE
"571",92,127,135,105,FALSE
"572",96,117,119,94,FALSE
"573",92,112,119,90,FALSE
"574",92,112,114,94,FALSE
"575",92,112,119,94,FALSE
"576",92,108,114,90,FALSE
"577",87,103,105,83,FALSE
"578",83,99,101,79,FALSE
"579",79,91,105,79,FALSE
"580",71,73,101,90,TRUE
"581",63,57,105,101,TRUE
"582",46,34,130,135,TRUE
"583",42,32,130,135,TRUE
"584",42,34,124,135,TRUE
"585",46,37,119,131,TRUE
"586",42,30,135,157,TRUE
"587",42,30,135,150,TRUE
"588",46,32,124,131,TRUE
"589",49,34,124,131,TRUE
"590",46,34,119,131,TRUE
"591",46,37,130,127,TRUE
"592",75,84,101,79,TRUE
"593",87,99,105,83,FALSE
"594",87,103,110,86,FALSE
"595",87,103,114,86,FALSE
"596",87,108,119,90,FALSE
"597",92,112,119,90,FALSE
"598",92,108,110,90,FALSE
"599",92,112,119,90,FALSE
"600",92,108,110,86,FALSE
"601",87,103,105,86,FALSE
"602",87,108,110,86,FALSE
"603",87,112,114,90,FALSE
"604",83,103,105,83,FALSE
"605",87,103,105,86,FALSE
"606",83,103,110,90,FALSE
"607",87,108,110,90,FALSE
"608",87,108,110,90,FALSE
"609",92,108,114,86,FALSE
"610",87,103,105,86,FALSE
"611",96,112,114,94,FALSE
"612",92,117,124,98,FALSE
"613",92,108,114,90,FALSE
"614",92,103,110,86,FALSE
"615",75,91,93,72,FALSE
"616",63,66,72,60,FALSE
"617",67,70,72,60,FALSE
"618",71,73,75,60,FALSE
"619",67,73,72,60,FALSE
"620",63,70,75,57,FALSE
"621",71,77,82,64,FALSE
"622",71,77,82,64,FALSE
"623",71,77,75,64,FALSE
"624",71,77,82,68,FALSE
"625",71,88,93,72,FALSE
"626",75,84,90,68,FALSE
"627",67,73,75,60,FALSE
"628",63,66,72,57,FALSE
"629",93,125,129,104,FALSE
"630",93,120,124,94,FALSE
"631",93,115,119,94,FALSE
"632",89,115,119,90,FALSE
"633",89,115,114,94,FALSE
"634",93,115,124,97,FALSE
"635",97,111,119,94,FALSE
"636",93,106,114,90,FALSE
"637",89,106,101,80,FALSE
"638",74,75,97,83,TRUE
"639",53,49,114,108,TRUE
"640",47,37,119,126,TRUE
"641",44,31,124,133,TRUE
"642",44,31,129,140,TRUE
"643",44,34,129,143,TRUE
"644",44,31,129,140,TRUE
"645",44,34,124,136,TRUE
"646",44,31,124,140,TRUE
"647",44,34,129,136,TRUE
"648",44,31,124,136,TRUE
"649",44,37,119,126,TRUE
"650",50,43,110,115,TRUE
"651",44,34,129,143,TRUE
"652",44,29,124,143,TRUE
"653",44,34,129,143,TRUE
"654",44,34,119,136,TRUE
"655",42,34,119,129,TRUE
"656",44,34,114,129,TRUE
"657",47,37,114,126,TRUE
"658",47,34,119,126,TRUE
"659",47,34,114,126,TRUE
"660",47,34,114,122,TRUE
"661",47,37,114,126,TRUE
"662",47,40,114,115,TRUE
"663",57,60,105,94,TRUE
"664",85,102,105,83,FALSE
"665",89,106,114,90,FALSE
"666",89,106,110,90,FALSE
"667",93,106,114,87,FALSE
"668",93,111,119,94,FALSE
"669",93,111,114,90,FALSE
"670",89,106,114,83,FALSE
"671",89,106,110,87,FALSE
"672",89,106,114,90,FALSE
"673",89,106,114,87,FALSE
"674",89,111,110,90,FALSE
"675",89,106,114,90,FALSE
"676",89,111,114,94,FALSE
"677",97,120,119,97,FALSE
"678",93,115,114,90,FALSE
"679",85,97,105,80,FALSE
"680",78,88,89,73,FALSE
"681",70,84,82,65,FALSE
"682",63,71,78,58,FALSE
"683",67,71,78,58,FALSE
"684",67,75,82,62,FALSE
"685",67,71,74,58,FALSE
"686",63,67,70,55,FALSE
"687",67,71,70,58,FALSE
"688",70,84,93,76,FALSE
"689",78,84,89,73,FALSE
"690",74,88,89,69,FALSE
"691",70,79,85,65,FALSE
"692",67,79,82,65,FALSE
"693",67,79,78,65,FALSE
"694",67,75,74,62,FALSE
"695",67,67,70,55,FALSE
"696",92,120,120,98,FALSE
"697",92,115,115,94,FALSE
"698",88,102,111,87,FALSE
"699",84,106,111,91,FALSE
"700",88,111,111,87,FALSE
"701",92,106,115,91,FALSE
"702",88,102,111,83,FALSE
"703",76,77,102,83,TRUE
"704",53,40,115,116,TRUE
"705",44,29,125,135,TRUE
"706",50,31,131,135,TRUE
"707",44,31,125,135,TRUE
"708",44,34,131,139,TRUE
"709",47,31,125,139,TRUE
"710",47,31,125,135,TRUE
"711",44,31,120,131,TRUE
"712",50,40,115,113,TRUE
"713",50,46,111,116,TRUE
"714",44,29,136,146,TRUE
"715",44,31,136,139,TRUE
"716",44,31,131,135,TRUE
"717",44,31,120,131,TRUE
"718",44,31,120,128,TRUE
"719",44,34,120,120,TRUE
"720",80,98,102,79,FALSE
"721",84,102,102,87,FALSE
"722",88,106,111,87,FALSE
"723",88,102,111,83,FALSE
"724",92,115,115,91,FALSE
"725",88,111,115,91,FALSE
"726",92,106,115,87,FALSE
"727",92,111,115,91,FALSE
"728",97,111,120,91,FALSE
"729",92,111,111,87,FALSE
"730",88,106,111,87,FALSE
"731",88,106,111,87,FALSE
"732",92,106,111,91,FALSE
"733",92,111,115,91,FALSE
"734",92,115,120,94,FALSE
"735",92,120,120,94,FALSE
"736",92,106,111,87,FALSE
"737",76,85,90,68,FALSE
"738",64,77,78,61,FALSE
"739",60,66,67,57,FALSE
"740",64,69,71,57,FALSE
"741",64,66,67,54,FALSE
"742",60,62,67,54,FALSE
"743",64,69,74,61,FALSE
"744",64,69,74,61,FALSE
"745",68,81,86,72,FALSE
"746",64,73,74,61,FALSE
"747",64,69,71,61,FALSE
"748",72,77,82,68,FALSE
"749",76,81,90,76,FALSE
"750",76,85,90,72,FALSE
"751",76,77,90,68,FALSE
"752",68,69,71,57,FALSE
"753",64,69,74,57,FALSE
"754",68,69,74,57,FALSE
"755",64,66,67,54,FALSE
"756",88,107,113,88,FALSE
"757",84,107,113,88,FALSE
"758",84,112,113,88,FALSE
"759",92,112,113,88,FALSE
"760",88,103,108,85,FALSE
"761",64,64,104,96,TRUE
"762",46,31,128,135,TRUE
"763",46,31,128,135,TRUE
"764",46,31,133,143,TRUE
"765",50,31,133,135,TRUE
"766",46,34,128,135,TRUE
"767",46,36,128,132,TRUE
"768",46,39,122,121,TRUE
"769",53,45,108,103,TRUE
"770",43,31,139,143,TRUE
"771",46,34,122,125,TRUE
"772",46,36,118,125,TRUE
"773",46,34,118,121,TRUE
"774",43,36,118,121,TRUE
"775",46,34,122,125,TRUE
"776",50,34,118,125,TRUE
"777",50,36,118,128,TRUE
"778",53,51,113,103,TRUE
"779",84,99,104,85,FALSE
"780",84,103,113,88,FALSE
"781",88,107,118,88,FALSE
"782",88,103,104,85,FALSE
"783",88,103,113,85,FALSE
"784",88,107,108,88,FALSE
"785",92,112,118,88,FALSE
"786",92,107,118,88,FALSE
"787",88,112,118,88,FALSE
"788",88,107,113,85,FALSE
"789",88,107,113,88,FALSE
"790",92,103,113,88,FALSE
"791",88,107,108,92,FALSE
"792",92,112,113,88,FALSE
"793",92,112,118,92,FALSE
"794",88,107,122,88,FALSE
"795",88,103,108,85,FALSE
"796",68,71,75,59,FALSE
"797",60,57,60,45,FALSE
"798",56,57,56,45,FALSE
"799",60,57,67,49,FALSE
"800",60,57,67,49,FALSE
"801",56,54,67,49,FALSE
"802",56,54,67,52,FALSE
"803",53,57,67,52,FALSE
"804",60,64,75,63,FALSE
"805",64,68,79,59,FALSE
"806",64,68,71,56,FALSE
"807",64,71,75,63,FALSE
"808",71,79,79,63,FALSE
"809",71,79,79,67,FALSE
"810",71,79,87,70,FALSE
"811",68,75,79,67,FALSE
"812",71,79,79,63,FALSE
"813",64,71,79,59,FALSE
"814",68,71,71,59,FALSE
"815",93,111,118,92,FALSE
"816",88,111,113,92,FALSE
"817",84,111,118,92,FALSE
"818",93,111,113,92,FALSE
"819",88,107,109,87,FALSE
"820",84,99,100,79,FALSE
"821",84,95,96,79,FALSE
"822",44,32,139,141,TRUE
"823",44,34,139,146,TRUE
"824",44,32,134,141,TRUE
"825",44,32,134,137,TRUE
"826",48,34,128,133,TRUE
"827",48,37,118,125,TRUE
"828",48,40,118,112,TRUE
"829",51,45,104,100,TRUE
"830",44,32,128,137,TRUE
"831",44,32,123,129,TRUE
"832",44,34,128,129,TRUE
"833",44,32,128,125,TRUE
"834",48,29,123,125,TRUE
"835",44,32,113,121,TRUE
"836",48,34,118,112,TRUE
"837",51,37,118,112,TRUE
"838",48,40,113,112,TRUE
"839",48,37,118,125,TRUE
"840",48,34,123,125,TRUE
"841",88,107,109,87,FALSE
"842",88,111,109,92,FALSE
"843",88,107,109,87,FALSE
"844",93,107,113,87,FALSE
"845",88,111,118,96,FALSE
"846",93,111,118,96,FALSE
"847",93,111,118,92,FALSE
"848",93,111,118,92,FALSE
"849",93,111,118,92,FALSE
"850",88,111,118,92,FALSE
"851",88,107,113,92,FALSE
"852",93,111,118,87,FALSE
"853",88,107,109,87,FALSE
"854",88,103,113,83,FALSE
"855",84,95,100,83,FALSE
"856",75,79,89,67,FALSE
"857",63,61,63,42,FALSE
"858",59,51,67,46,FALSE
"859",59,51,67,50,FALSE
"860",55,54,67,50,FALSE
"861",55,58,70,54,FALSE
"862",71,79,85,67,FALSE
"863",71,87,96,75,FALSE
"864",75,83,89,71,FALSE
"865",71,75,85,67,FALSE
"866",71,75,74,62,FALSE
"867",67,72,70,58,FALSE
"868",67,72,74,58,FALSE
"869",63,68,74,58,FALSE
"870",71,75,77,67,FALSE
"871",95,109,112,89,FALSE
"872",90,113,117,92,FALSE
