"MinTemp","MaxTemp","Rainfall","Humidity9am","Humidity3pm","RainTomorrow"
6.3,20.7,0,65,43,0
5.3,15.6,5.2,63,51,0
20.6,33.8,0,22,21,0
6.5,18.9,0,79,53,0
9.9,27.4,0,77,41,0
17,18.4,1.4,82,96,1
8.4,31.6,0,35,31,0
18.8,30.4,0,66,55,0
4.2,18.8,0,55,32,0
3.7,11.5,0,72,60,0
14.2,21.9,0,60,53,1
5.7,11.3,3.9,81,67,0
23.9,37.7,0,36,37,0
7.6,24.6,0.2,67,46,0
5.1,20.7,0,93,56,0
19,40,0,30,12,0
9.4,20.7,0,65,46,0
13.6,23.7,0,60,45,1
10.1,32.1,0,66,17,0
13.2,19.8,0,69,56,0
12.3,27.8,0,43,14,0
13.1,35.8,0,19,8,0
22.4,33.6,0,41,42,0
17.5,36.3,0,41,23,0
7.3,17.5,0,57,49,0
14.9,23.4,0,99,94,0
17.1,25.9,0,70,69,1
7,13.4,17.2,85,79,1
14.1,25.2,0,67,63,0
7.3,25,0,52,19,0
14.9,22.2,0.2,80,79,0
23.4,32.8,0,60,38,0
12.4,24.7,0,75,54,0
8.3,12.5,2,98,83,0
11.6,21.2,0.2,89,51,0
25.3,36.9,0,66,41,0
8.7,25,0,67,48,0
7.4,15.6,0,97,61,0
8.4,18.8,0,55,46,0
21.3,35.5,0,51,22,0
19.6,23.9,0.8,77,74,0
21.1,34.9,0,71,32,0
16.5,23,0,57,57,0
14.9,24.9,1,91,61,1
6.5,13.9,0,69,48,0
13.7,20.1,0,72,76,1
8.3,26.5,0,81,39,0
6.2,12.4,1.2,54,63,0
20.3,28.3,0,51,45,0
10.4,17.1,1,69,46,0
20.2,25.7,6.4,86,76,1
21.4,25.9,0,83,79,0
7,16.2,0.2,59,55,0
19.7,34.8,0,59,23,0
2.7,27.3,0,59,28,0
15.7,21.2,11,72,66,0
6.4,12.6,15,96,84,1
6,19.1,0,55,49,0
13.8,25.3,0,57,31,0
13.3,36.1,0,51,22,0
17.7,32.5,0,46,22,0
15.6,25.3,1.6,79,47,1
1.9,19.6,0.2,60,39,0
8.1,21.2,0,61,45,0
12.1,16.9,5.6,100,69,0
6.4,19.6,0.6,67,48,0
18.9,27.6,0.2,56,33,0
11.6,19.8,0,93,70,0
5.9,27.9,0,43,15,0
10.3,17.2,0,54,46,0
7.3,21.8,0,91,48,0
4.2,10.7,1.8,87,65,1
8.8,20.4,0.2,50,36,0
12,27.2,0,76,48,0
6.9,18.2,0,63,44,0
8.7,19,0,64,74,1
17.1,26,0,100,47,0
4.1,29.8,0,46,16,0
6.8,16.7,0,62,45,0
15.2,25.7,83.6,76,61,0
12.6,17.7,1,86,69,1
10.5,22.6,0,78,47,1
11.6,20.9,0,49,31,1
2.3,15,0,77,59,0
11.9,18.4,0,57,57,1
22.7,29.4,0,75,64,0
15.8,21.4,0.2,98,67,0
6.5,19.7,0,61,37,0
16.6,18.7,0,75,89,1
6.6,16.9,0,65,53,0
19,33.2,0.6,52,17,0
7.7,16.4,1.8,64,52,0
1.7,14.6,0.2,87,53,0
10.1,23.2,0,68,43,0
7.8,26.8,0,49,27,0
11,24.7,0,65,46,0
9,14.2,9.8,66,50,1
7.4,13.1,6.6,88,69,1
11.7,19.3,0,61,61,0
16.4,23.5,0,85,49,0
8.6,18.5,0,85,48,0
10.8,21.2,0,60,43,0
15.4,32.6,0,35,33,1
8.9,16.7,0,75,52,0
10,16.2,0,62,44,0
17.3,22.4,0,77,68,1
2,12.3,0,99,78,1
18.7,26.8,0,35,62,0
13.1,18.2,10.2,87,49,0
10.4,27.2,0,71,31,0
5.9,18.5,0,81,46,0
6,14.9,33.6,59,67,0
7.5,16.9,4.6,97,68,1
6.3,13,1.4,99,64,0
14.6,23.6,0,53,44,0
9.1,15.3,36.8,90,52,1
2.8,22.1,0,74,33,0
24,29.1,74.8,91,90,1
14.1,20.9,22.8,81,44,0
15,23.6,0,100,88,1
0.7,17.4,0,75,35,0
22.5,30.5,0,54,67,0
8.9,21,1,90,71,1
-3.3,11.2,0,99,67,0
17.8,21.5,7.6,72,71,0
18.2,27.3,0,70,56,0
0.7,17.2,0,91,54,0
18,33,0,66,22,0
3.3,18.4,0,52,44,0
18.2,31.3,0,68,41,0
10.3,22.1,0,72,48,0
18.5,25.9,0,78,59,0
5.7,16.1,0,79,61,0
10.2,29.6,0,87,32,0
14.9,29.2,0,46,33,1
11.7,22.9,0,83,55,0
13.7,20.2,1.2,100,81,0
7.2,17.3,0.8,64,56,0
2.1,14.8,0.4,99,50,0
20.2,23.9,14.2,95,93,1
20.2,23.4,0.6,77,83,1
16.2,22.2,0,83,72,0
12.3,22.2,0,61,50,0
4.9,20.5,0,73,48,0
22.5,27.7,7.4,82,72,1
20.7,22.9,5,95,60,1
14,17.1,4.2,71,68,1
15.2,23.8,0.8,83,57,0
7.6,19.9,0,76,60,0
10,16.7,10,98,70,1
2.3,21.1,0,80,41,0
7.2,24.2,0,60,26,0
13.1,29.8,0,71,48,0
8.5,21.1,1.2,60,41,0
-0.5,9.9,3,69,79,0
14.9,37.8,0,52,20,0
7.4,23.7,0,75,48,0
13.2,20.4,17.6,94,66,0
16.8,19.9,0.2,78,83,1
20,27.6,1,71,59,0
13.9,27.2,0.2,82,46,0
8.1,29.2,0,12,4,0
16.9,35.8,0,33,26,0
7.5,22.9,0,38,23,0
2.6,15.9,3.2,88,54,0
15.6,26.8,0,56,30,0
21,33,0,75,38,0
6.6,17.7,1.4,100,57,0
13.1,19.4,0,44,37,0
6,18.5,0,87,53,1
14.6,27.5,1.8,44,17,0
22,29.8,0,73,68,1
13,16.5,26.2,92,81,1
8.3,14,4.6,97,83,1
-0.6,10.6,0,51,63,0
13,17.3,13.4,91,83,1
11.3,18,1.8,83,62,0
-1.3,14.3,0,77,48,1
21.8,25.9,0.2,69,71,0
14.1,24.9,21.4,87,44,0
8.3,22.5,0,66,58,0
3.6,12.6,3.2,98,55,0
15.4,26.9,0.4,66,55,0
16.1,25.3,0,69,53,0
20.6,34.3,0,53,30,0
9.6,15.1,0.6,80,74,0
0.1,19.5,0,86,53,0
-0.2,11.9,0.2,98,45,0
11.7,19.3,6.2,62,48,0
3.2,17.6,0,67,39,1
13.9,24.4,0,62,36,0
14,23.4,1,85,41,0
8,24.1,0,62,51,0
15.1,20.7,0,60,60,0
11.9,22.5,2.6,72,70,1
3,19.5,0,81,46,0
8.4,19.5,1,98,63,0
15.2,37.9,0,16,11,0
23.7,43.1,0,26,12,0
14.9,18.6,0,70,73,0
12.4,34.1,0,19,10,0
13.4,27.8,0,73,53,0
7.2,29,0,51,18,0
11.5,24.4,0.4,78,41,0
12.3,19.5,12.5,85,70,1
-0.5,12.7,0.2,97,64,1
18.8,38.2,0,70,45,0
20.1,24.7,0,83,77,0
15.8,37.2,0,65,31,0
15.4,18.9,0,71,82,1
11.4,31.9,0,45,12,0
10.1,23.1,0,55,46,0
16.8,32.8,0,2,2,0
9.6,29.4,0,37,19,0
21.2,31.1,0,54,68,0
17.1,27.3,0,76,65,0
6.5,23.4,0,80,22,0
8,19.9,0.8,78,61,0
16.8,25.6,17.4,99,68,0
16.2,20.4,35.6,93,99,1
11.2,18,0,65,40,1
5.1,24.5,0,75,40,0
15.7,24.3,0.2,66,73,0
9,22.1,0,51,29,0
14.4,32.8,0,55,23,1
7.5,19.3,0,43,32,0
19.4,34.8,0,71,35,1
17.6,29.1,0.8,55,52,0
25.8,33.4,0,84,67,0
7.7,24.9,0,54,42,0
13.5,25.4,0,36,33,0
5.8,10.8,6,97,89,1
14.6,27.7,0,57,53,0
12.9,16.1,16.8,93,83,1
17.2,25.6,1.6,66,49,0
14.8,21.7,0,72,76,1
10.3,16,0.2,78,71,0
5.7,22.1,0,62,34,0
24.3,33.5,0.4,58,42,0
4.6,17.6,0,40,29,0
14.5,21.8,0,74,62,1
10.6,17.4,35.6,91,77,1
4.5,19.5,0,53,29,0
5.1,14.3,0,81,61,0
25.3,29.7,53.2,94,83,1
9.9,24,0,34,37,0
17.7,30.3,0,29,48,0
7.6,22,0,62,46,0
4.8,14.8,0,83,54,0
10.8,15,0.4,82,74,0
7.7,21.9,0,50,28,0
5.8,24,0,51,45,0
17.9,26.7,7.2,80,69,1
0.6,14.1,0.4,71,54,0
11.3,19.7,10.6,67,45,0
18.7,27.4,2.8,71,59,0
11.5,22.4,0,47,50,0
13.9,39.4,0,32,14,0
13.3,23.7,0,61,46,0
14.3,34.7,0,71,28,0
5.6,23.5,0,63,21,0
15.1,26.2,0,84,75,0
16,31.6,0,79,39,0
25.5,31.8,0,81,69,0
4.1,10,0,87,94,0
24.6,35.5,0,67,54,0
18.9,24.2,0,60,64,0
18.7,19.8,0,62,86,1
20.1,23.4,0,83,84,0
20.2,28.7,0,76,66,0
13,19.7,4.2,76,54,1
13.4,31.7,0,81,33,0
21,36.6,0,32,28,0
7.4,19.1,0,85,67,0
12.3,20.3,0,79,51,0
9.6,22.5,0,73,49,1
19.7,26.2,0.4,73,44,0
13,25.9,0,72,65,0
12.6,29.6,0,53,27,0
-2.2,15.9,0,98,55,1
15,19.9,0,78,81,1
8,15.2,7.4,69,48,0
6.7,15.1,0.4,89,42,0
13.4,19.1,0.2,72,60,1
17.4,27.7,0,88,54,0
11.8,26.9,0,72,33,0
19.6,24.2,35.4,97,94,1
-1.6,14,0,85,48,0
-1.5,5.9,0,25,72,1
2.5,27.3,0,47,24,0
11.1,16.9,5.2,71,57,0
6.8,11.4,0,61,51,1
20,25.3,0,83,80,1
14.8,20.5,0,63,63,0
10,28.5,0,41,80,1
10.9,19.1,0,65,62,0
5.8,16.9,0,82,56,0
9.3,14.3,0.6,75,81,0
10.2,14.9,10.4,88,99,1
-2.7,1.2,1,97,98,0
1.8,14.5,0.2,74,49,0
9.3,22.5,0,93,67,0
19,25.7,0,46,37,0
4.3,13.9,0,78,62,0
6.4,11.1,1.4,99,85,1
19.2,28,0,90,78,1
18.5,24.2,0.6,93,89,1
7,19.5,0,71,52,0
10.4,20.1,0.2,81,66,0
12.4,21.2,0,64,58,0
9.9,17.1,0.8,92,68,0
7.5,16.9,0,72,55,0
11.4,23.3,0,85,39,0
13.9,19.2,0,88,89,0
10.5,17,0,56,55,0
8.5,18.8,0.4,100,64,0
5.3,17.8,0,50,37,0
9,25.7,0,34,30,0
1,12.6,0.2,85,54,0
11.8,25,0,52,24,0
12.6,20.7,0,84,66,0
-1.3,12,0.1,100,61,0
1.9,12.1,1,99,66,0
0.8,19.3,0,55,27,0
7.6,21.5,0.8,44,41,0
12.3,17.9,4,81,76,0
11,19.1,8.4,82,65,1
25,31.5,0,77,73,1
9,24.5,0,49,44,0
4.8,16.2,7.2,52,40,0
9,17.3,52.8,67,48,0
20,24.9,31,91,84,1
17.4,28.4,28.6,87,61,0
6.4,20.9,0,73,49,1
17.9,33.9,0,45,15,0
3.2,19.2,0,96,55,1
17.8,20.3,34.2,87,87,1
12.6,26.3,0,75,34,1
19.2,21.2,0,84,77,0
17.9,25.3,0,65,64,0
5.4,19.6,0,76,50,0
-0.2,13.1,1,97,58,0
13.7,25,0.6,55,44,0
6.3,18.1,0,60,53,0
3.2,16.1,0,88,50,1
-0.8,16.2,0,82,45,0
4.2,20.7,0,77,50,0
20,20.1,33,99,96,1
7.9,12.7,4,100,66,0
6.9,13.9,26.4,82,66,0
16.7,21.2,0,68,68,0
13.2,27.9,0,37,11,0
13,20.2,0.2,79,52,0
14.2,24.1,0.8,68,55,0
-0.8,10.5,0,83,71,0
4.8,22.1,0,66,55,0
6.6,7.5,0.6,59,69,1
13.3,25.9,31,52,33,0
20.7,29.1,0,58,34,0
19.7,22.7,0,58,54,0
20.5,25.4,25,88,77,0
4.4,26.5,0,50,26,0
4.7,14.5,0,78,48,0
6.4,13.9,0.4,92,47,0
17.2,34.6,0,45,20,0
5.7,21.6,0,70,53,0
11.2,19.2,0,72,57,0
18.5,36.8,0,39,25,0
19.6,29.9,0,63,50,0
18.4,27,0,65,53,0
21.8,26.5,0.2,42,52,1
-1.7,3.7,0.2,61,89,0
7.1,21.7,0,52,26,0
2.5,7.7,2,100,61,0
14.2,26.5,0,62,63,0
14.6,25.2,0,100,53,0
10.5,18.4,0.2,58,42,0
18.6,34.7,0,17,20,0
16.6,22.3,0,70,56,0
8.5,18.1,3.6,96,72,0
20.4,29.1,2.2,58,46,0
23.3,41.7,0,16,15,1
13,27.3,0,49,21,0
8.3,20.9,0,42,46,1
7.2,24.8,0.2,68,27,0
7.9,20.1,0,71,47,0
9.7,25.9,0,38,24,0
13.3,25.2,0.8,66,44,0
19.9,21.5,0.2,89,77,1
10.1,19.2,7.8,88,74,0
19.6,35.7,0,50,21,0
22.7,25.9,0,76,66,0
16.7,27,0,64,55,0
16.5,29.6,0,70,50,1
1.5,14.2,0,86,50,0
11,25.5,0,81,66,0
17.7,36.4,0,34,15,0
1.1,12.7,0,69,52,1
2.3,15.3,0,86,67,0
6.8,12.7,0,72,61,0
10.6,17.2,0,41,28,0
17.7,26.1,7.2,83,58,0
14.6,26,0.2,89,59,0
8.3,28.9,0,28,15,0
22.8,39,0,25,17,1
10.9,23.3,0,60,37,0
8.6,16,6.2,73,64,0
13.4,14.4,10.8,94,58,1
9.7,18.4,0.2,51,42,0
17.7,19.4,39,100,100,1
10.4,17.5,2.6,52,54,0
6.6,17.6,0.4,64,30,0
4,15.5,0,63,45,0
7.6,11.3,29.6,82,90,1
17.5,24.8,0,76,53,0
9.9,18.9,1.2,87,64,1
11.5,25.3,0,73,56,0
9.3,16.4,1.6,84,63,0
16.2,25.5,0,69,74,1
6.1,14.3,0.4,55,42,0
18.5,24,11.2,91,88,1
10.6,26.7,11,79,30,0
11.3,26.6,0,46,38,0
13.5,22.5,0,63,60,0
9.5,26.5,0,48,43,0
18.3,26.5,0.8,81,46,0
3.9,16.9,0,70,54,0
8.2,13,5.4,72,73,0
3.4,21.4,0,64,31,0
9.1,20.8,0.2,98,70,1
20.5,32.3,0,70,52,0
13.6,21.8,0,86,81,1
10.1,20.6,0,51,31,1
21.6,29.7,0,61,60,0
12.5,15.7,0.2,98,98,0
15.7,24.6,7,72,70,0
7.5,26.7,0,49,15,0
8.2,23.2,0.2,99,50,0
14.7,30.6,0,52,30,1
27.5,41.4,0,60,66,0
9.4,14,0,91,79,0
16.4,27.3,0,62,57,0
13.9,28.6,0,46,25,0
11.7,35,0,43,16,0
21.2,25.1,0,78,76,0
0.4,12.7,0.2,97,71,0
7.6,13.5,0.2,74,66,0
17.2,34,0,55,30,0
10.1,18.7,0.2,88,61,0
26.5,34.8,0,62,54,1
19.2,22.8,0,71,63,0
18.6,24.5,0.8,75,64,0
0.8,10.1,11.8,85,82,1
9.6,19.5,0,86,66,0
16.2,20.2,0,75,72,0
17,24.5,0,63,63,0
6,19,0,100,38,0
25.5,33.9,0,68,56,0
6.3,13.2,1,72,65,0
18.4,27.5,0,56,43,0
3.4,16.3,0,64,46,0
18.1,25.3,0,70,54,0
4.5,14.5,0,77,93,1
8.5,25.1,0,45,26,0
20.3,25.9,0,71,51,0
3.7,19.8,0,47,29,0
1.5,15.5,2.6,82,41,0
7.7,15.5,0,71,53,0
8.7,29.7,0,52,17,0
9.3,23.9,0,54,63,0
15.6,20.8,0,56,50,0
7.4,16.7,0,87,58,0
21.7,33.5,2.2,67,41,0
9.3,14.9,0,77,75,1
12,34.5,0,40,11,0
10.9,20.7,0,50,30,0
14.3,25.8,0,59,40,0
12.7,18.5,0.2,53,56,1
19.2,25.6,0,83,91,1
13.9,24.4,0.2,58,51,0
25.6,36,0,63,33,0
6.7,13.4,7.4,95,88,1
21.8,31,2.8,80,65,1
18.6,32,40.2,62,61,0
17.9,27.6,0,77,63,0
6.7,15.8,0.2,55,54,0
14.3,26.8,0,58,39,0
3.5,13.8,0,92,65,1
-0.5,18.9,0,92,39,0
16.2,27.1,0,72,54,0
18.8,31,0,49,32,0
21.7,37.4,22,59,32,0
20,31.5,0,14,12,0
13.4,23,0,85,83,1
21.9,32,0,27,27,0
15.3,28.3,0,43,23,0
14.5,18.5,0,52,52,0
8.1,13.7,1.8,74,79,1
4,20,0,62,51,0
5.7,24.7,0.2,71,27,0
9.8,17.7,0,96,68,0
8.6,20.1,0,85,62,0
4.4,19.8,0,79,38,0
11.7,19.4,1.2,73,58,0
20.5,30.2,2.8,79,49,0
10.1,20.3,8.5,95,63,0
10.4,19.9,0.2,79,64,0
14,29.2,0.2,80,47,0
13.2,21.5,0,71,50,0
22.7,29.9,0,59,87,1
16.5,22.1,0.4,94,81,0
24.6,31.4,0.6,73,83,0
15.8,21.6,0,73,61,0
17.3,27.6,0,67,62,1
-2.3,15,0,72,25,0
7.6,18.3,6.6,81,52,0
21.1,30,0,65,71,0
6.5,17,0,86,83,0
9.2,19.7,8.4,89,84,0
18,24.4,0,77,66,0
0.1,13.8,0.2,97,63,0
6.9,15.8,0.2,98,72,0
14.5,26,0.2,73,57,0
5.7,18.4,0,69,51,0
20,38.8,0,41,7,0
14.1,17.5,4.4,96,81,1
3.2,24.1,0,53,33,0
21.2,31.8,0.2,56,47,0
12.3,24.6,0.6,96,46,0
5.7,22.7,0,41,19,0
21.7,28.4,2.6,81,65,0
17.6,20.6,0,68,56,0
15.9,23.1,2.4,84,32,0
1.3,11.2,0.4,80,52,1
17.4,24.9,0,63,57,1
5.1,20.6,0,99,35,0
19.7,37,0,45,22,0
11.1,29.9,0,56,43,0
11.1,18.7,0,68,42,0
17.9,28.9,0,52,31,0
10.3,12.5,2.6,83,90,1
12.8,30.6,0,100,25,0
16.8,26.2,0,76,61,0
3.2,21.5,0,63,35,0
18,33.9,0,26,18,0
6.6,20.2,0,39,50,1
17,20.2,0,57,47,0
13.8,19.1,0,57,58,0
16.5,22.5,0,77,54,0
10.3,28,0,66,32,0
8.3,17.7,0.8,48,40,0
0.4,16,0,99,47,0
8.6,15.5,0.6,88,91,1
2.9,18.5,0,99,66,1
15.5,25.4,0.2,84,45,0
5.7,20.1,0,95,53,0
5.6,25.7,0,74,42,0
23.3,29.2,6,89,73,1
16.9,30.8,0.2,83,36,0
3,17.4,0,79,47,0
3.5,20.8,0,60,64,1
9.3,17.4,2,74,39,0
7.8,15,0.4,80,44,0
10,21.1,0.2,65,42,0
20.2,28.8,0,73,55,0
10.6,16.1,12.8,82,60,1
10.7,24.3,0.4,59,53,0
4.3,22.3,0,97,43,0
17.1,32.5,0,61,15,0
8.4,18.7,4.2,78,61,0
25.8,31.7,1.4,70,67,1
10.7,23.4,0,77,46,0
0.4,4,5.6,97,97,1
7.4,20.5,0,43,29,0
8.2,22.1,0,72,46,0
5.3,17.2,0,76,36,0
6.9,19.3,0,66,59,0
7.6,17.9,2.8,65,59,0
21,25,3,81,74,0
5.8,19.8,5,100,51,0
8.7,22.2,0,98,67,0
15,32,0,37,15,0
-0.5,18.1,0,59,25,0
12.4,28.9,0,78,37,0
14.8,28.1,0,58,36,0
20.9,33.7,0,71,28,0
19.7,28.3,0,79,55,0
2.6,16.5,1.6,74,63,0
13.6,18.8,0.2,72,61,1
10.5,13.2,0,97,81,0
5.7,28.2,0,39,23,0
-0.3,15.9,0,95,56,1
12.8,20.1,0,53,37,0
8.6,17.5,0.2,74,82,0
19.8,33.5,0,69,32,0
17.2,39.7,0,9,7,0
3.6,10.7,0,47,65,0
19.1,24.8,68.2,94,74,1
15.5,21,0,31,39,0
13.8,15.3,0,87,79,0
15.3,22.6,0.2,89,71,0
20.7,37.5,0,38,64,0
10.7,24.5,0,75,48,0
24,37.8,0,16,11,0
13.8,29.2,0,84,46,0
-1.1,13.1,0,95,48,0
7.7,20.2,0,62,48,0
3.5,18.4,0,87,44,0
1.4,3.8,0,98,100,1
5.8,19.6,0,96,56,0
3.8,19.7,0,69,44,0
23.9,32.5,2.8,68,60,0
2.1,17,0,100,52,0
10.2,16.9,0.2,93,85,0
15.6,24.5,2,58,34,0
11.8,19.7,0,64,45,0
8.4,14.8,0.2,83,87,0
6.8,11.7,0,73,70,0
6.4,18.6,0,68,41,1
15.9,27.5,0,59,64,0
17,25.1,1.2,75,77,0
6,22.3,0,48,28,0
15.5,36.1,0,32,26,0
17.9,26.8,0.2,79,68,0
4.1,27.7,0,15,6,0
10.2,36.1,0,40,15,0
14.2,21.3,0,60,31,0
12.3,25.9,0,59,44,0
9.7,20.6,0.4,51,42,0
23.8,33.3,0,53,35,0
7.1,19.4,0,70,45,1
24.3,33.5,0.4,84,91,1
12.8,17.9,0.8,78,95,1
17.1,27.3,0,74,68,0
11.1,15,11.8,91,58,1
6.8,14.8,2,75,66,1
15,31.8,0,49,21,0
6.5,14.3,2,100,65,0
20.2,26.2,0,80,60,0
14.6,19.7,2.4,60,60,0
2,12.2,0,60,94,0
15.9,34.1,0,25,11,0
3.6,14.2,0,93,73,0
17.4,23.4,2.2,73,51,0
-0.6,16.7,0,69,40,0
11.3,26,0,87,46,0
4.6,16,0,60,53,0
8.2,27.3,0,58,20,1
5.7,21.2,0,84,33,0
14.4,28.4,0,89,50,0
6.7,20.3,0,65,51,0
15.1,28.8,0,96,62,1
15.8,19.8,164.2,96,89,1
19.4,31.6,7.4,93,48,1
19,24.5,5,73,47,0
5.5,26.4,0,25,11,0
3.8,18.3,0,73,37,0
21.8,30.1,0.8,65,55,1
10.8,16.1,0,75,61,0
5.6,25.9,0,40,16,0
11.8,21.7,0.2,84,72,0
-3.1,16.3,0,66,29,0
13.3,20.1,0,46,29,0
22.5,29.7,0.2,63,79,1
13,25.5,0,40,30,0
22.4,32.9,1.6,60,48,0
10.5,17.6,3.4,80,53,0
9.9,20.9,0,54,44,0
19.3,22.8,0.2,73,49,0
22.9,27.1,0,78,72,0
15.6,33.2,0,47,24,0
19.5,26.8,0.2,65,72,1
20.2,24.5,0,69,74,0
7.5,25.3,0,63,34,0
20.6,26.8,0,58,57,0
14,40.4,0,45,13,0
18.4,37.7,0,71,27,0
19.5,40.6,0,82,28,0
6.5,16.4,0,83,38,0
13.3,31.8,0,42,27,0
12.5,29.7,0,73,39,0
11.4,23.2,0.2,78,44,0
19.1,23.4,1.8,79,83,1
15.1,19.9,10,80,77,0
20.7,28.2,3.2,60,61,0
18.5,29.9,0,53,26,0
13.2,30,0,73,37,0
6.2,19.4,0,71,52,0
27.9,33.1,1.4,74,61,0
23.6,29.4,0,88,88,0
10.3,15.5,0,74,90,1
15.3,21.7,0.8,82,65,0
0.9,15,0.2,93,50,0
16.1,27.5,0,54,53,0
9.4,24.3,0,73,28,0
7.4,14.3,1.2,94,92,1
6.6,12.4,3.4,91,68,1
12,26.6,0,53,38,0
15.5,22,7.8,74,38,0
12.3,26.7,0,36,22,0
24.7,31.9,0.2,72,73,0
14,23.1,0,76,53,0
10.5,13.7,2.8,94,57,0
15.5,40.1,0,15,11,0
16.6,24,1.2,59,23,0
19.2,27.8,2,100,45,0
17.4,33.7,0,38,27,0
16.5,29.4,0,65,65,0
15.1,22.3,0,56,42,0
5,12.1,0.4,88,58,0
21.5,32.9,0.4,60,54,0
12.1,24.4,3.1,69,74,0
9.9,25,0,67,42,0
13.4,26.4,0,36,30,0
12.4,22.6,5,82,54,0
3.7,13.7,0,83,62,0
10.1,20.7,0,71,61,1
14.6,23.7,0,59,45,0
16.7,24.4,8.2,89,63,0
9.6,16.9,0.4,100,94,0
22.2,42.1,0,38,14,0
15.8,26.7,0,62,53,0
24.1,30.2,26.8,94,79,1
8.2,22,0,76,54,0
26.8,33.2,1.8,78,99,1
-0.6,16,2,98,64,1
9.4,19.8,0.4,68,62,0
-1.5,10,0,57,47,0
18.8,37.6,0,41,17,0
14.6,19.1,9.8,1,1,0
0.2,17.7,0,90,37,0
14.3,20.9,9,67,98,1
4,19.1,0,69,46,0
6.3,13.6,0.2,95,97,1
11.2,20.7,0,88,99,1
5.9,18.1,0,65,51,1
18.2,28.1,0,64,51,0
9.5,23.6,0,61,36,0
16.5,26.8,0,64,48,0
1.4,19,0,70,44,1
5.4,20.8,0,78,61,1
10.9,23.8,0.4,69,46,0
11.7,18.3,16.4,93,76,0
19.8,38.3,0,9,5,0
2.7,27.5,0,35,18,0
16.6,29.1,0,66,53,0
10,18.4,0,42,37,0
9.8,20.6,0,58,43,0
11.7,16.4,3,83,60,0
-0.2,15.1,0,93,39,1
11.4,16.3,0,73,67,0
23.8,31.3,22.6,91,72,0
8.2,12,4.2,87,89,0
17,30,0.6,58,45,0
19.5,32,0,45,45,0
7.1,13.1,0.2,76,67,1
19.7,21.7,7,97,95,1
0.2,14.6,0.1,90,54,0
17.8,24.7,2.4,70,59,1
19.2,24.4,0.6,64,61,0
7.2,13,0,81,59,0
17.4,23,0,79,94,1
7.2,24,0,56,31,0
7.6,18.5,9.8,94,60,1
5,11.8,0.4,95,76,1
7.6,19.5,0.2,99,57,1
12.9,22.4,1.8,84,45,0
19.9,28.3,10.6,78,66,1
14.8,22,0.8,91,75,0
20.7,27.3,8.6,61,77,0
11.6,20.4,0,61,52,1
-1,15,0.2,95,48,0
16.3,23.2,2.2,83,64,1
6,12,4.4,98,99,1
5.9,14.8,0.2,74,59,0
25.1,32.1,0,70,64,0
